symbol,type,strike,premium,target,sl,current,status,action,timestamp
LT,CE,3650.0,35.2,56.32,21.12,35.2,OPEN (+0.0%),HOLD,2025-09-23 17:55:17
SBIN,CE,880.0,5.1,8.16,3.06,5.1,OPEN (+0.0%),HOLD,2025-09-23 17:55:18
MARUTI,CE,16200.0,138.0,220.8,82.8,138.0,OPEN (+0.0%),HOLD,2025-09-23 17:55:19
LT,CE,3650.0,35.2,56.32,21.12,42.6,OPEN (+21.0%),HOLD,2025-09-24 13:06:07
SBIN,CE,880.0,5.1,8.16,3.06,3.95,OPEN (-22.5%),HOLD,2025-09-24 13:06:08
MARUTI,CE,16200.0,138.0,220.8,82.8,152.2,OPEN (+10.3%),HOLD,2025-09-24 13:06:08
MARUTI,CE,16300.0,125.0,200.0,75.0,107.4,OPEN (-14.1%),HOLD,2025-09-25 13:07:12
BHARTIARTL,CE,1960.0,5.6,8.96,3.36,1.05,SL HIT ⚠️,EXIT ❌,2025-09-26 13:05:49
SUNPHARMA,CE,1600.0,6.15,9.84,3.69,6.15,OPEN (+0.0%),HOLD,2025-09-28 12:56:11
LT,PE,3650.0,2.65,4.24,1.59,2.65,OPEN (+0.0%),HOLD,2025-09-28 12:56:12
TATAMOTORS,PE,660.0,3.7,5.92,2.22,2.75,OPEN (-25.7%),HOLD,2025-09-28 12:56:13
ONGC,PE,235.0,0.15,0.24,0.09,0.15,OPEN (+0.0%),HOLD,2025-09-28 12:56:15
ONGC,CE,240.0,0.8,1.28,0.48,0.55,OPEN (-31.2%),HOLD,2025-09-28 12:56:16
SUNPHARMA,CE,1600.0,6.15,9.84,3.69,5.55,OPEN (-9.8%),HOLD,2025-09-29 15:03:40
LT,PE,3650.0,2.65,4.24,1.59,2.1,OPEN (-20.8%),HOLD,2025-09-29 15:03:41
ONGC,PE,235.0,0.15,0.24,0.09,0.05,SL HIT ⚠️,EXIT ❌,2025-09-29 15:03:42
ONGC,CE,240.0,0.55,0.88,0.33,0.4,OPEN (-27.3%),HOLD,2025-09-29 15:03:43
NTPC,CE,340.0,0.55,0.88,0.33,2.6,TARGET HIT 🎯,EXIT ✅,2025-09-29 15:03:44
SBIN,PE,860.0,0.7,1.12,0.42,0.05,SL HIT ⚠️,EXIT ❌,2025-09-30 13:05:38
INFY,PE,1440.0,4.05,6.48,2.43,0.1,SL HIT ⚠️,EXIT ❌,2025-09-30 13:05:39
LT,PE,3600.0,0.7,1.12,0.42,0.05,SL HIT ⚠️,EXIT ❌,2025-09-30 13:05:39
LT,PE,3650.0,2.1,3.36,1.26,0.05,SL HIT ⚠️,EXIT ❌,2025-09-30 13:05:40
LT,CE,3750.0,2.7,4.32,1.62,0.05,SL HIT ⚠️,EXIT ❌,2025-09-30 13:05:41
ONGC,CE,240.0,0.05,0.08,0.03,7.35,TARGET HIT 🎯,EXIT ✅,2025-10-01 13:05:46
TATAMOTORS,CE,700.0,0.05,0.08,0.03,30.3,TARGET HIT 🎯,EXIT ✅,2025-10-01 13:05:47
ONGC,PE,235.0,0.05,0.08,0.03,1.6,TARGET HIT 🎯,EXIT ✅,2025-10-01 13:05:48
LT,CE,3600.0,48.1,76.96,28.86,121.95,TARGET HIT 🎯,EXIT ✅,2025-10-01 13:05:49
SBIN,CE,870.0,0.8,1.28,0.48,16.65,TARGET HIT 🎯,EXIT ✅,2025-10-01 13:05:50
TCS,PE,2900.0,59.0,94.4,35.4,59.0,OPEN (+0.0%),HOLD,2025-10-02 13:01:50
TATAMOTORS,PE,700.0,8.9,14.24,5.34,8.9,OPEN (+0.0%),HOLD,2025-10-02 13:01:51
RELIANCE,PE,1380.0,26.85,42.96,16.11,26.85,OPEN (+0.0%),HOLD,2025-10-02 13:01:52
INFY,PE,1400.0,22.6,36.16,13.56,22.6,OPEN (+0.0%),HOLD,2025-10-02 13:01:53
RELIANCE,PE,1370.0,22.3,35.68,13.38,22.3,OPEN (+0.0%),HOLD,2025-10-02 13:01:53
TCS,PE,2900.0,59.0,94.4,35.4,62.9,OPEN (+6.6%),HOLD,2025-10-03 13:00:52
TATAMOTORS,PE,700.0,8.9,14.24,5.34,8.55,OPEN (-3.9%),HOLD,2025-10-03 13:00:53
RELIANCE,PE,1380.0,26.85,42.96,16.11,30.05,OPEN (+11.9%),HOLD,2025-10-03 13:00:55
INFY,PE,1400.0,22.6,36.16,13.56,22.3,OPEN (-1.3%),HOLD,2025-10-03 13:00:56
RELIANCE,PE,1370.0,22.3,35.68,13.38,24.85,OPEN (+11.4%),HOLD,2025-10-03 13:00:57
